oid,lat,lon,tim
5066,42.438878,-71.119277,2001-11-28 21:05:28
5067,42.439227,-71.119689,2001-06-02 03:26:55
5096,42.438917,-71.116146,2001-11-16 23:03:38
5142,42.443904,-71.122044,2001-11-28 21:05:28
5156,42.447298,-71.121447,2001-06-02 03:26:58
5224,42.454873,-71.125094,2001-06-02 03:26:59
5229,42.459079,-71.124988,2001-06-02 03:26:59
5237,42.456979,-71.124474,2001-06-02 03:26:59
5254,42.454401,-71.120990,2001-11-28 21:05:28
5258,42.451442,-71.121746,2001-11-07 23:53:41
5264,42.454404,-71.120660,2001-11-28 21:05:28
526708,42.457761,-71.121045,2001-06-02 03:27:00
526750,42.457089,-71.120313,2001-06-02 03:27:00
527614,42.456592,-71.119676,2001-11-07 23:53:41
527631,42.456252,-71.119356,2001-11-07 23:53:41
5278,42.458148,-71.119135,2001-06-02 03:27:00
5289,42.459377,-71.117693,2001-06-02 03:27:01
5374,42.464183,-71.119828,2001-11-28 21:05:28
5376,42.465650,-71.119399,2001-06-02 03:27:02
6006,42.439018,-71.114456,2001-06-02 03:26:55
6006100,42.438594,-71.114803,2001-11-28 21:05:28
6014,42.436757,-71.113223,2001-11-28 21:05:28
6029,42.441754,-71.113220,2001-06-02 03:26:55
6053,42.436243,-71.109075,2001-06-02 03:27:05
6066,42.439250,-71.107500,2001-06-02 03:26:57
6067,42.439764,-71.107582,2001-06-02 03:26:57
6071,42.434766,-71.105874,2001-06-02 03:26:57
6073,42.433304,-71.106599,2001-06-02 03:26:56
6084,42.437338,-71.104772,2001-06-02 03:26:57
6130,42.442196,-71.110975,2001-06-02 03:26:55
6131,42.442981,-71.111441,2001-06-02 03:26:58
6153,42.444773,-71.108882,2001-06-02 03:27:05
6171,42.443592,-71.106301,2001-06-02 03:27:05
6176,42.447804,-71.106624,2001-06-02 03:27:04
6177,42.448448,-71.106158,2001-06-02 03:27:04
6272,42.453415,-71.106783,2001-06-02 03:26:55
6272,42.453434,-71.107253,2001-06-02 03:26:56
6278,42.458298,-71.106771,2001-06-02 03:27:04
6280,42.451430,-71.105413,2001-11-16 23:03:38
6283,42.453845,-71.105206,2001-11-16 23:03:38
6289,42.459986,-71.106170,2001-11-16 23:03:38
6297,42.457616,-71.105116,2001-06-02 03:27:04
6328,42.467110,-71.113574,2001-06-02 03:27:02
6354,42.464202,-71.109863,2001-06-02 03:27:03
635722,42.466459,-71.110067,2001-06-02 03:27:02
635783,42.466557,-71.109410,2001-06-02 03:27:02
6373,42.463495,-71.107117,2001-06-02 03:27:03
6634,42.401051,-71.110241,2001-06-02 03:26:56
6979,42.432621,-71.106532,2001-06-02 03:26:56
6997,42.431033,-71.107883,2001-11-16 23:03:38
688760,42.465687,-71.107360,2001-06-02 03:27:03
872850,42.430950,-71.107628,2001-06-02 00:18:15
6016,42.438666,-71.114079,2001-11-28 21:05:28
5236,42.456469,-71.124651,2001-06-02 03:26:59
5376,42.465759,-71.119815,2001-06-02 03:27:01
6181,42.442993,-71.105878,2001-06-02 03:27:05
6042,42.435472,-71.109664,2001-06-02 03:27:05
6042,42.458516,-71.103646,2001-06-02 03:28:05
6121,42.443109,-71.112675,2001-06-02 03:26:57
5179,42.449866,-71.119298,2001-06-02 03:26:59
5299,42.459629,-71.116524,2001-06-02 03:27:01
5376,42.465485,-71.119148,2001-06-02 03:27:02
6353,42.462776,-71.109986,2001-06-02 03:27:03
6155,42.446793,-71.108784,2001-06-02 03:27:04
14,42.451204,-71.126602,2001-06-02 03:26:59
16,42.458499,-71.122078,2001-06-02 03:27:00
17,42.459376,-71.119238,2001-06-02 03:27:01
19,42.466353,-71.119240,2001-06-02 03:27:02
21,42.468655,-71.107697,2001-06-02 03:27:03
24,42.456718,-71.102973,2001-06-02 03:27:03
5,42.430847,-71.107690,2001-11-28 21:05:28
6,42.431240,-71.109236,2001-11-07 23:53:41
6077,42.439502,-71.106556,2001-06-02 00:18:16
5148,42.449765,-71.122320,2001-11-07 23:53:41
5267,42.457388,-71.119845,2001-06-02 03:27:00
100,42.434980,-71.109942,2001-11-07 23:53:41
5252,42.453256,-71.121211,2001-11-07 23:53:41
5287500,42.457734,-71.117481,2001-06-02 03:27:01
5239100,42.459278,-71.124574,2001-06-02 03:27:00
5278100,42.458782,-71.118991,2001-06-02 03:27:01
5058100,42.439993,-71.120925,2001-06-02 00:18:14
600,42.453415,-71.106782,2001-06-02 00:18:13
700,42.455956,-71.107483,2001-06-02 03:27:04
5376,42.465913,-71.119328,2001-11-07 23:53:41
5144,42.445359,-71.122845,2001-11-28 21:05:28
5150,42.441727,-71.121676,2001-06-02 00:18:16
